        Date Time        | 가동률 | 모델정보 | 생산수량 | 불량수량 | 알람코드 | 작업 진행 상황 | 박스 진행 상황 | 레이어 진행상황 | 박스 정보 | 팔레트 정보 | 간지 사용 유무 | 리프트 높이 | 적재 방향 | 로봇 스피드 | BOX SORT CYLINDER | SAFETY LADAR SENSOR | LABEL ALINE | 작업 상태 | 박스 소요 시간 | 전체 소요 시간 |
2023-07-26 오후 1:29:22 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1984 | 0 | -16283 | 13712 | 1 | 0 | 0
2023-07-26 오후 1:29:22 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1856 | 0 | -8091 | 13696 | 1 | 0 | 0
2023-07-26 오후 1:29:23 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 0 | 0
2023-07-26 오후 1:29:23 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 1 | 3
2023-07-26 오후 1:29:26 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 4 | 5
2023-07-26 오후 1:29:28 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 6 | 8
2023-07-26 오후 1:29:30 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -16353 | 1792 | 0 | -8092 | 13698 | 1 | 6 | 8
2023-07-26 오후 1:29:30 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 6 | 8
2023-07-26 오후 1:29:31 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 9 | 10
2023-07-26 오후 1:29:32 | 0 | 1 | 40 | 0 | 0 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 1 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -16284 | 13696 | 1 | 9 | 10
2023-07-26 오후 1:30:48 | 6 | 1 | 40 | 8 | 8 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 0 | 2 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 9 | 85
2023-07-26 오후 1:30:49 | 6 | 1 | 40 | 9 | 9 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 1 | 2 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 2 | 88
2023-07-26 오후 1:30:51 | 6 | 1 | 40 | 9 | 9 | 0 | 0 | 460 | 266 | 320 | 16 | 1100 | 1100 | 150 | 8 | 5 | 1 | 2 | 0 | 0 | 4 | 100 | 0 | 0 | 0 | 16 | 1 | -32737 | 1792 | 0 | -8092 | 13696 | 1 | 5 | 90
