|      Date Time      |       DI 1       |       DI 2       |   DI 3   |       DO 1       |       DO 2       |
| 2023-07-13 10:21:33 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:02 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:13 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:18 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:21 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:23 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:28 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:22:31 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:23:17 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:26:08 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:26:13 | 1111010000100001 | 0000001101100000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:26:16 | 1111010000100001 | 0000001101100000 | 00000000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:26:21 | 1111010000100001 | 0000001101100000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:26:23 | 1111010000100001 | 0000001101100000 | 00000000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:26:26 | 1111010000000001 | 0000001101100000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:26:28 | 1111010000000001 | 0000001101100000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:26:33 | 1111010000000001 | 0000001101100000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:26:51 | 1111010000100001 | 0000001101100000 | 00000000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:26:53 | 1111010000100001 | 0000001101100000 | 10100000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:26:56 | 1111010000000001 | 0000001101100000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:31:53 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:31:56 | 1111010000100001 | 0000001111000000 | 00000000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:31:58 | 1111010000000001 | 0000001111000000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:32:06 | 1111010000000001 | 0000001111000000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:32:08 | 1111100000000001 | 0000001111000000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:32:11 | 1111100001000001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110100000 |
| 2023-07-13 10:32:13 | 1111100001000001 | 0000001111000000 | 10100000 | 0010011000000011 | 0000000110101000 |
| 2023-07-13 10:32:16 | 1111010000000001 | 0000001101100000 | 00000000 | 0010010000000011 | 0000000110101000 |
| 2023-07-13 10:32:18 | 1111010000100001 | 0000001111000000 | 00000000 | 0010011000010011 | 0000000110101000 |
| 2023-07-13 10:32:21 | 1111010010000001 | 0000001111000000 | 00000000 | 0010011000010011 | 0000000110101000 |
| 2023-07-13 10:32:23 | 1111010001000001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-13 10:32:26 | 1111100000000001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-13 10:33:32 | 1111010000000001 | 0000001101100000 | 00000000 | 0010010000000011 | 0000000110101000 |
| 2023-07-13 10:33:33 | 1111010000000001 | 0000001101100000 | 10100000 | 0010010000000011 | 0000000110101000 |
| 2023-07-13 10:46:46 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:48:45 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:49:35 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:49:36 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:49:41 | 1111010000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:49:44 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:49:52 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:50:17 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-07-13 10:50:26 | 1111010000100001 | 0000001111000000 | 10100000 | 0000011000010011 | 0000000110100000 |
| 2023-07-13 10:50:29 | 1111010000000001 | 0000001111000000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:50:31 | 1111010000000001 | 0000001111000000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:50:34 | 1111010000000001 | 0000001111000000 | 10100000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:50:36 | 1111101000000001 | 0000001111000000 | 00000000 | 0000011000000011 | 0000000110100000 |
| 2023-07-13 10:50:39 | 1111100010000001 | 0000001111000000 | 00000000 | 0010011100000011 | 0000000110100000 |
| 2023-07-13 10:50:41 | 1111100001000001 | 0000001111000000 | 00000000 | 0010011000001011 | 0000000110101000 |
| 2023-07-13 10:50:44 | 1111101000000001 | 0000001111000000 | 00000000 | 0010011000001011 | 0000000110101000 |
| 2023-07-13 10:50:46 | 1111100001000001 | 0000001111100000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-13 10:50:49 | 1111100000000001 | 0000001111100000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-13 10:50:51 | 1111100000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-13 10:52:59 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:04 | 1111100000000001 | 0000000111000000 | 00000000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:11 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:26 | 1111100000000001 | 0000000111000000 | 00000000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:29 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:39 | 1111100000000001 | 0000000111000000 | 00100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:53:41 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:54:47 | 1111100000000001 | 0000000111000000 | 00000000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:54:49 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:54:56 | 1111100000000001 | 0000000111000000 | 10100000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:54:59 | 1111100000000001 | 0000000111000000 | 00000000 | 0010001000000111 | 0000000110101100 |
| 2023-07-13 10:55:01 | 1111100000000001 | 0000000111000000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-07-13 10:55:04 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-07-13 10:55:06 | 1111100000000011 | 0000000111100000 | 10100000 | 0010011000000111 | 0100000110101100 |
| 2023-07-13 10:55:09 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-07-13 10:55:36 | 1111100000000011 | 0000000011100000 | 10100000 | 0010011000000111 | 0100000110101100 |
| 2023-07-13 10:55:39 | 1111100000000001 | 0000000011100000 | 10100000 | 0010011000000111 | 0000000110101100 |
| 2023-07-13 10:55:44 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
