|      Date Time      |       DI 1       |       DI 2       |   DI 3   |       DO 1       |       DO 2       |
| 2023-06-21 08:53:17 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 08:54:12 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 08:59:11 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 09:07:29 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 09:08:39 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 09:20:45 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 10:18:38 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 11:15:35 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 13:25:30 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-21 13:36:25 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
