|      Date Time      |       DI 1       |       DI 2       |   DI 3   |       DO 1       |       DO 2       |
| 2023-07-14 16:15:33 | 1111100000000001 | 0000000000000000 | 00000000 | 0000010000000011 | 0000000110000000 |
| 2023-07-14 16:15:41 | 1111100000000001 | 0000000000000000 | 10100000 | 0000010000000011 | 0000000110000000 |
| 2023-07-14 16:15:46 | 1111100000000001 | 0000000000000000 | 00000000 | 0000010000000011 | 0000000110000000 |
| 2023-07-14 16:18:03 | 1111100010000001 | 0000001111000000 | 00000000 | 0010010100000011 | 0000000110100000 |
| 2023-07-14 16:18:05 | 1111100001000001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-14 16:18:10 | 1111100000000001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-14 16:18:13 | 1111000000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:18:15 | 1111010000000001 | 0000001101100000 | 10100000 | 0010010000000011 | 0000000110101000 |
| 2023-07-14 16:18:18 | 1111010000000001 | 0000001101100000 | 00000000 | 0010010000000011 | 0000000110101000 |
| 2023-07-14 16:18:20 | 1111010000100001 | 0000001111000000 | 00000000 | 0010011000000011 | 0000000110101000 |
| 2023-07-14 16:18:23 | 1111010010000001 | 0000001111000000 | 00000000 | 0010011100000011 | 0000000110101000 |
| 2023-07-14 16:18:28 | 1111010001000001 | 0000001111000000 | 00000000 | 0010011000001011 | 0000000110101000 |
| 2023-07-14 16:18:30 | 1111010000000001 | 0000001111000000 | 00000000 | 0010011000001011 | 0000000110101000 |
| 2023-07-14 16:18:41 | 1111010000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:25:02 | 1111010000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:25:15 | 1111010000000001 | 0000001111100000 | 10100000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:25:18 | 1111010000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:26:13 | 1111010000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:26:59 | 1111010000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:27:43 | 1111010010000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:27:45 | 1111000000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:27:48 | 1111100001000001 | 0000001111100000 | 00000000 | 1010011000001011 | 0000000110101000 |
| 2023-07-14 16:27:50 | 1111100001000001 | 0000001011100000 | 00000000 | 1010011000000011 | 0000000110101000 |
| 2023-07-14 16:27:53 | 1111100001000001 | 0000001111100000 | 00000000 | 1010011000001011 | 0000000110101000 |
| 2023-07-14 16:27:55 | 1111100000000001 | 0000001111100000 | 00000000 | 1011011000000011 | 0000100110101100 |
