|      Date Time      |       DI 1       |       DI 2       |   DI 3   |       DO 1       |       DO 2       |
| 2023-06-16 10:15:12 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:15:44 | 1111000000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:15:45 | 1111100000000001 | 0000001111100000 | 10100000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:15:51 | 1111100000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:15:53 | 1111100000000001 | 0000001111100000 | 10100000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:16:11 | 1111100000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:16:21 | 1111100000000001 | 0000001111100000 | 10100000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:16:48 | 1111100000000001 | 0000001111100000 | 00000000 | 1010011000000011 | 0000000110101100 |
| 2023-06-16 10:16:53 | 1111100000000001 | 0000001011100000 | 00000000 | 1010011000000111 | 0000000110101100 |
| 2023-06-16 10:16:56 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:17:01 | 1111100000000011 | 0000000011100000 | 00000000 | 0010011000000111 | 0100000110101100 |
| 2023-06-16 10:17:16 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:17:46 | 1111100000000011 | 0000000111100000 | 00000000 | 0010011000000111 | 0100000110101100 |
| 2023-06-16 10:18:01 | 1111100000000001 | 0000000011100000 | 10100000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:18:16 | 1111100000000011 | 0000000011100000 | 00100000 | 0010011000000111 | 0100000110101100 |
| 2023-06-16 10:18:31 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:20:25 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:20:56 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:21:17 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:21:46 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:22:29 | 1111100000000011 | 0000000011100000 | 10100000 | 0010011000000111 | 0100000110101100 |
| 2023-06-16 10:22:43 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:50:38 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:51:12 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:54:13 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:55:16 | 1111100000000001 | 0000000011100000 | 00000000 | 0010011000000111 | 0000000110101100 |
| 2023-06-16 10:56:26 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:57:51 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
| 2023-06-16 10:59:46 | 0000000000000000 | 0000000000000000 | 00000000 | 0000000000000000 | 0000000000000000 |
