|      Date Time      |       DI 1       |       DI 2       |   DI 3   |       DO 1       |       DO 2       |
| 2023-06-22 09:35:34 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:35:39 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:35:41 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:35:44 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:35:49 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:35:59 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:04 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:09 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:29 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:31 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:36 | 1111000000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:41 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:36:44 | 0000000000000000 | 0000001100100000 | 00000000 | 0000010000000011 | 0000000110000000 |
| 2023-06-22 09:36:49 | 0000000000000000 | 0000001100100000 | 10100000 | 0000010000000011 | 0000000110000000 |
| 2023-06-22 09:36:51 | 0000000000000000 | 0000001100100000 | 00000000 | 0000010000000011 | 0000000110000000 |
| 2023-06-22 09:37:09 | 1111000000000001 | 0000001101100000 | 00000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:37:24 | 1111010000000001 | 0000001101100000 | 10100000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:37:26 | 1111100000000001 | 0000001101100000 | 10000000 | 0000010000000011 | 0000000110100000 |
| 2023-06-22 09:37:29 | 1111100000000001 | 0000001101100000 | 00000000 | 0000011000010011 | 0000000110100000 |
