|      Date Time      | 가동률 | 모델정보 | 생산수량 | 불량수량 | 알람코드 | 작업 진행 상황 | 박스 진행 상황 | 레이어 진행상황 | 박스 정보 | 팔레트 정보 | 간지 사용 유무 | 리프트 높이 | 적재방향 | 로봇 스피드 | BOX SORT CYLINDER | SAFETY LADAR SENSOR | LABEL ALINE | 로봇 상태 | 로봇 서보 온 |
| 2023-07-04 15:53:08 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:53:26 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:54:34 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:54:46 | 0 | 1 | 0 | 0 | 0 | 0/40 | 0/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:54:58 | 0 | 1 | 1 | 0 | 0 | 1/40 | 1/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:55:08 | 0 | 1 | 2 | 0 | 0 | 2/40 | 2/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:55:18 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-04 15:55:19 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 0 |
| 2023-07-04 15:55:19 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | EMERGENCY STOP | 0 |
| 2023-07-04 15:55:21 | 0 | 1 | 3 | 0 | 25 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | EMERGENCY STOP | 0 |
| 2023-07-04 15:55:24 | 0 | 1 | 3 | 0 | 25 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-04 15:55:29 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-04 15:55:54 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 0 |
| 2023-07-04 15:55:55 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | EMERGENCY STOP | 0 |
| 2023-07-04 15:55:56 | 0 | 1 | 3 | 0 | 25 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | EMERGENCY STOP | 0 |
| 2023-07-04 15:56:00 | 0 | 1 | 3 | 0 | 25 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-04 15:56:07 | 0 | 1 | 3 | 0 | 25 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-04 15:56:08 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-04 15:56:11 | 0 | 1 | 3 | 0 | 0 | 3/40 | 3/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | EMERGENCY STOP | 0 |
