|      Date Time      | 가동률 | 모델정보 | 생산수량 | 불량수량 | 알람코드 | 작업 진행 상황 | 박스 진행 상황 | 레이어 진행상황 | 박스 정보 | 팔레트 정보 | 간지 사용 유무 | 리프트 높이 | 적재방향 | 로봇 스피드 | BOX SORT CYLINDER | SAFETY LADAR SENSOR | LABEL ALINE | 로봇 상태 | 로봇 서보 온 |
| 2023-07-12 10:25:59 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-12 10:26:17 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:26:30 | 0 | 1 | 0 | 0 | 0 | 0/40 | 0/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:27:51 | 5 | 1 | 7 | 0 | 0 | 7/40 | 7/8 | 1/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:28:06 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-12 10:28:31 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:28:50 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:29:19 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:29:28 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:29:51 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:30:41 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:30:47 | 5 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:31:39 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:31:48 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:33:08 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:33:43 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:36:37 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:37:07 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:37:17 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:37:35 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:38:25 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:38:47 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 0 |
| 2023-07-12 10:38:47 | 5 | 1 | 9 | 0 | 18 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-12 10:38:48 | 5 | 1 | 9 | 0 | 25 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | SAFE OFF | 0 |
| 2023-07-12 10:38:51 | 5 | 1 | 9 | 0 | 25 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-12 10:40:02 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE STANDBY | 1 |
| 2023-07-12 10:40:18 | 0 | 0 | 0 | 0 | 0 | 0/0 | 0/0 | 0/0 | 0*0*0(mm) 0(kg) | 0*0*0(mm) | 0 | 0 | 0 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:40:19 | 0 | 1 | 9 | 0 | 0 | 9/40 | 1/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:40:32 | 0 | 1 | 10 | 0 | 0 | 10/40 | 2/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:40:39 | 0 | 1 | 11 | 0 | 0 | 11/40 | 3/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:40:49 | 0 | 1 | 12 | 0 | 0 | 12/40 | 4/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:40:59 | 0 | 1 | 13 | 0 | 0 | 13/40 | 5/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:09 | 0 | 1 | 14 | 0 | 0 | 14/40 | 6/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:19 | 6 | 1 | 15 | 0 | 0 | 15/40 | 7/8 | 2/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:29 | 6 | 1 | 16 | 0 | 0 | 16/40 | 0/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:37 | 6 | 1 | 17 | 0 | 0 | 17/40 | 1/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:47 | 6 | 1 | 18 | 0 | 0 | 18/40 | 2/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:41:57 | 6 | 1 | 19 | 0 | 0 | 19/40 | 3/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:42:07 | 6 | 1 | 20 | 0 | 0 | 20/40 | 4/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
| 2023-07-12 10:42:14 | 6 | 1 | 21 | 0 | 0 | 21/40 | 5/8 | 3/5 | 460*266*320(mm) 16(kg) | 1100*1100*150(mm) | 0 | 0 | 1 | 100 | 0 | 0 | 1 | STANDALONE RUNNING | 1 |
